id,input_text,perceived_mood,indicators,suggested_reply,suggested_actions,confidence_score
184,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,worried;परेशान,Try grounding techniques or a 5-min break to calm down.,Write down worries to release them from mind.,0.97
185,I can't stop worrying about the interview tomorrow,anxious,anxious;heart racing,Try grounding techniques or a 5-min break to calm down.,Write down worries to release them from mind.,0.89
186,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,deadlines;संभाल,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.73
187,Feeling anxious about meeting new people,anxious,nervous;heart racing,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Write down worries to release them from mind.,0.89
188,Excited to learn new things today,motivated,उत्साहित;goal,Chunk tasks into milestones; reward yourself after completion.,Maintain momentum and track achievements.,0.74
189,"Classes were normal today, nothing much happened",neutral,सामान्य;usual,"ठीक है, दिन सामान्य रहा।",Stay balanced; hydrate and rest.,0.71
190,I don't see the point in anything anymore,depressed,बेकार;meaningless,I'm here for you — it sounds heavy.,Reach out to a trusted friend or counselor.,0.73
191,I can achieve my goals if I work hard,motivated,goal;enthusiastic,Love the energy — you’ve got this!,Channel energy into tasks efficiently.,0.78
192,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,deadlines;overload,"Take a deep breath, you can handle one task at a time.",Seek support if overwhelmed; focus on one step at a time.,0.87
193,"Deadlines are piling up, I feel like I’ll collapse",stressed,pressure;overload,That sounds overwhelming — let's break it down into smaller steps.,Seek support if overwhelmed; focus on one step at a time.,0.76
194,मुझे बहुत खुशी हो रही है आज,happy,well-being;friends,That’s wonderful — I’m glad you enjoyed!,Enjoy the good day fully; connect with loved ones.,0.92
195,Had a great time with friends today!,happy,amazing;friends,That’s wonderful — I’m glad you enjoyed!,Record or savor what made you happy.,0.77
196,I can't stop worrying about the interview tomorrow,anxious,anxious;worried,It’s okay to feel anxious — want to talk about it?,Practice deep breathing or mindfulness exercises.,0.8
197,Feeling anxious about meeting new people,anxious,ghabraahat;worried,It’s okay to feel anxious — want to talk about it?,Write down worries to release them from mind.,0.72
198,Ready to tackle all my assignments,motivated,goal;energy,Chunk tasks into milestones; reward yourself after completion.,Plan milestones; reward yourself after completion.,0.84
199,I'm tired all the time and don't want to do anything,depressed,tired;hopeless,"मैं सुन रही हूँ, यह कठिन समय है।",Journal feelings to reflect and lighten mental load.,0.76
200,Had a great time with friends today!,happy,enjoyed;well-being,"बहुत अच्छा, खुश रहो!",Enjoy the good day fully; connect with loved ones.,0.89
201,"Deadlines are piling up, I feel like I’ll collapse",stressed,काम;संभाल,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Seek support if overwhelmed; focus on one step at a time.,0.73
202,Ready to tackle all my assignments,motivated,energy;excited,"उत्साह बढ़िया है, बढ़िया काम करो!",Maintain momentum and track achievements.,0.74
203,My heart is racing thinking about the exam,anxious,परेशान;anxious,Try grounding techniques or a 5-min break to calm down.,Talk to a friend or mentor to reduce anxiety.,0.79
204,Everything is going well in life,happy,amazing;खुशी,Capture gratitude in a quick note; enjoy the moment.,Record or savor what made you happy.,0.82
205,Feeling pumped to finish my project tonight,motivated,excited;goal,Chunk tasks into milestones; reward yourself after completion.,Plan milestones; reward yourself after completion.,0.82
206,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,ghabraahat;heart racing,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Write down worries to release them from mind.,0.91
207,Feeling so lonely even when surrounded by people,depressed,dark;meaningless,"मैं सुन रही हूँ, यह कठिन समय है।",Engage in one small enjoyable activity today.,0.9
208,"Classes were normal today, nothing much happened",neutral,routine;nothing special,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.73
209,I can achieve my goals if I work hard,motivated,drive;goal,Love the energy — you’ve got this!,Maintain momentum and track achievements.,0.98
210,"I got an A on my exam, feeling amazing!",happy,enjoyed;joy,"बहुत अच्छा, खुश रहो!",Enjoy the good day fully; connect with loved ones.,0.95
211,"Classes were normal today, nothing much happened",neutral,normal;usual,"ठीक है, दिन सामान्य रहा।",Stay balanced; hydrate and rest.,0.73
212,मुझे बहुत खुशी हो रही है आज,happy,friends;खुशी,That’s wonderful — I’m glad you enjoyed!,Celebrate the positive moments; share gratitude.,0.8
213,"I got an A on my exam, feeling amazing!",happy,joy;amazing,Capture gratitude in a quick note; enjoy the moment.,Celebrate the positive moments; share gratitude.,0.93
214,Everything is going well in life,happy,well-being;enjoyed,That’s wonderful — I’m glad you enjoyed!,Record or savor what made you happy.,0.97
215,I can achieve my goals if I work hard,motivated,energy;drive,"उत्साह बढ़िया है, बढ़िया काम करो!",Maintain momentum and track achievements.,0.92
216,Everything feels meaningless and dark,depressed,hopeless;lonely,I'm here for you — it sounds heavy.,Journal feelings to reflect and lighten mental load.,0.89
217,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,संभाल;deadlines,That sounds overwhelming — let's break it down into smaller steps.,Seek support if overwhelmed; focus on one step at a time.,0.85
218,"Attending usual lectures, nothing new",neutral,सामान्य;normal,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.79
219,I'm tired all the time and don't want to do anything,depressed,tired;hopeless,I'm here for you — it sounds heavy.,Engage in one small enjoyable activity today.,0.75
220,Had a great time with friends today!,happy,enjoyed;joy,"बहुत अच्छा, खुश रहो!",Enjoy the good day fully; connect with loved ones.,0.89
